id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,method,umpire1,umpire2,is_playoff,is_eliminator,is_qualifier,is_final,home_of
335982,Bangalore,18-04-2008,Brendon McCullum,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,Kolkata Knight Riders,runs,140,,Asad Rauf,Rudi Koertzen,0,0,0,0,Royal Challengers Bangalore
335983,Chandigarh,19-04-2008,Michael Hussey,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,33,,Mark Benson,Suresh Shastri,0,0,0,0,Kings XI Punjab
335984,Delhi,19-04-2008,Farveez Maharoof,Arun Jaitley Stadium,0,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,bat,Delhi Capitals,wickets,9,,Aleem Dar,G. A. Pratapkumar,0,0,0,0,Delhi Capitals
335985,Mumbai,20-04-2008,Mark Boucher,Wankhede Stadium,0,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,Royal Challengers Bangalore,wickets,5,,Steve Davis,Daryl Harper,0,0,0,0,Mumbai Indians
335986,Kolkata,20-04-2008,David Hussey,Eden Gardens,0,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,Kolkata Knight Riders,wickets,5,,Billy Bowden,Krishna Hariharan,0,0,0,0,Kolkata Knight Riders
335987,Jaipur,21-04-2008,Shane Watson,Sawai Mansingh Stadium,0,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,Rajasthan Royals,wickets,6,,Aleem Dar,Russell Tiffin,0,0,0,0,Rajasthan Royals
335988,Hyderabad,22-04-2008,Virender Sehwag,Rajiv Gandhi International Stadium,0,Deccan Chargers,Delhi Capitals,Deccan Chargers,bat,Delhi Capitals,wickets,9,,Ian Howell,Amiesh Saheba,0,0,0,0,Deccan Chargers
335989,Chennai,23-04-2008,Matthew Hayden,MA Chidambaram Stadium,0,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,6,,Daryl Harper,G. A. Pratapkumar,0,0,0,0,Chennai Super Kings
335990,Hyderabad,24-04-2008,Yusuf Pathan,Rajiv Gandhi International Stadium,0,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3,,Asad Rauf,Mark Benson,0,0,0,0,Deccan Chargers
335991,Chandigarh,25-04-2008,Kumar Sangakkara,Punjab Cricket Association IS Bindra Stadium,0,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Kings XI Punjab,runs,66,,Aleem Dar,Amiesh Saheba,0,0,0,0,Kings XI Punjab
335992,Bangalore,26-04-2008,Shane Watson,M.Chinnaswamy Stadium,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,,Mark Benson,Ian Howell,0,0,0,0,Royal Challengers Bangalore
335993,Chennai,26-04-2008,Jacob Oram,MA Chidambaram Stadium,0,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,Chennai Super Kings,wickets,9,,Billy Bowden,Arani Jayaprakash,0,0,0,0,Chennai Super Kings
